element,web_name,team,position,gw_from_fixture,total_points_4gw,minutes_4gw,personas,status,flags,persona_count,starts_last4
341,Darlow,LEE,GKP,38,17.0,360.0,The Last Line,Beating his xGC,Ever-present,1,4
342,Bogle,LEE,DEF,38,7.0,167.0,None,,Minutes risk,0,2
343,Struijk,LEE,DEF,38,3.0,235.0,Aerial Threat,,,1,3
344,Bijol,LEE,DEF,38,19.0,339.0,The Enforcer,,,1,4
345,Bornauw,LEE,DEF,38,8.0,125.0,None,,Minutes risk,0,1
346,Byram,LEE,DEF,38,1.0,1.0,None,,Minutes risk,0,0
347,Gudmundsson,LEE,DEF,38,0.0,0.0,None,,Minutes risk,0,0
348,Rodon,LEE,DEF,38,9.0,360.0,Aerial Threat,One action short,Ever-present,1,4
349,Schmidt,LEE,DEF,38,0.0,0.0,None,,Minutes risk,0,0
350,Aaronson,LEE,MID,38,5.0,229.0,None,,,0,3
351,Gnonto,LEE,MID,38,4.0,79.0,None,,Minutes risk,0,0
352,Harrison,LEE,MID,38,0.0,0.0,None,,Minutes risk,0,0
353,James,LEE,MID,38,5.0,142.0,None,,Minutes risk,0,2
354,Ampadu,LEE,MID,38,17.0,360.0,Ball Winner,Under-owned,Ever-present,1,4
355,Greenwood,LEE,MID,38,0.0,0.0,None,,Minutes risk,0,0
356,Gruev,LEE,MID,38,0.0,0.0,None,,Minutes risk,0,0
357,Ramazani,LEE,MID,38,0.0,0.0,None,,Minutes risk,0,0
358,Tanaka,LEE,MID,38,16.0,297.0,"Ball Winner, Metronome",Under-owned,,2,4
359,Crew,LEE,MID,38,0.0,0.0,None,,Minutes risk,0,0
360,Gelhardt,LEE,MID,38,0.0,0.0,None,,Minutes risk,0,0
361,Gyabi,LEE,MID,38,0.0,0.0,None,,Minutes risk,0,0
362,Piroe,LEE,FWD,38,2.0,28.0,None,,Minutes risk,0,0
363,Bamford,LEE,FWD,38,0.0,0.0,None,,Minutes risk,0,0
364,Mateo Joseph,LEE,FWD,38,0.0,0.0,None,,Minutes risk,0,0
365,Nmecha,LEE,FWD,38,5.0,172.0,None,,Minutes risk,0,1
366,A.Becker,LIV,GKP,38,2.0,90.0,None,,Minutes risk,0,1
367,Mamardashvili,LIV,GKP,38,3.0,180.0,None,,Minutes risk,0,2
368,Pécsi,LIV,GKP,38,0.0,0.0,None,,Minutes risk,0,0
369,Woodman,LIV,GKP,38,2.0,90.0,None,,Minutes risk,0,1
370,Frimpong,LIV,DEF,38,4.0,180.0,None,,Minutes risk,0,2
371,Kerkez,LIV,DEF,38,4.0,218.0,None,,Minutes risk,0,2
372,Robertson,LIV,DEF,38,2.0,140.0,None,,Minutes risk,0,2
373,Virgil,LIV,DEF,38,19.0,360.0,"The Raider, Aerial Threat",,Ever-present,2,4
374,Konaté,LIV,DEF,38,4.0,340.0,Aerial Threat,,Ever-present,1,4
375,Bradley,LIV,DEF,38,0.0,0.0,None,,Minutes risk,0,0
376,Gomez,LIV,DEF,38,1.0,79.0,None,,Minutes risk,0,1
377,Tsimikas,LIV,DEF,38,0.0,0.0,None,,Minutes risk,0,0
378,Nallo,LIV,DEF,38,0.0,0.0,None,,Minutes risk,0,0
379,R.Williams,LIV,DEF,38,0.0,0.0,None,,Minutes risk,0,0
380,Ramsay,LIV,DEF,38,0.0,0.0,None,,Minutes risk,0,0
381,M.Salah,LIV,MID,38,7.0,89.0,None,,Minutes risk,0,1
382,Wirtz,LIV,MID,38,4.0,131.0,None,,Minutes risk,0,1
383,Luis Díaz,LIV,MID,38,0.0,0.0,None,,Minutes risk,0,0
384,Gakpo,LIV,MID,38,12.0,329.0,"Goal Machine, Metronome, Aerial Threat",,,3,4
385,Chiesa,LIV,MID,38,3.0,40.0,None,,Minutes risk,0,0
386,Mac Allister,LIV,MID,38,8.0,360.0,Aerial Threat,,Ever-present,1,4
387,Szoboszlai,LIV,MID,38,26.0,360.0,"Playmaker, Boom or Bust, Set Piece Specialist",One action short,Ever-present,3,4
388,C.Jones,LIV,MID,38,15.0,360.0,None,"One action short, Under-owned",Ever-present,0,4
389,Elliott,AVL,MID,38,0.0,0.0,None,,Minutes risk,0,0
390,Gravenberch,LIV,MID,38,16.0,327.0,Shoots On Sight,,,1,4
391,Gannon-Doak,BOU,MID,38,2.0,37.0,None,,Minutes risk,0,0
392,Endo,LIV,MID,38,0.0,0.0,None,,Minutes risk,0,0
393,Bajcetic,LIV,MID,38,0.0,0.0,None,,Minutes risk,0,0
394,McConnell,LIV,MID,38,0.0,0.0,None,,Minutes risk,0,0
395,Morton,LIV,MID,38,0.0,0.0,None,,Minutes risk,0,0
396,Nyoni,LIV,MID,38,1.0,7.0,None,,Minutes risk,0,0
397,Darwin,LIV,FWD,38,0.0,0.0,None,,Minutes risk,0,0
398,Danns,LIV,FWD,38,0.0,0.0,None,,Minutes risk,0,0
399,Ederson M.,MCI,GKP,38,0.0,0.0,None,,Minutes risk,0,0
400,Ortega Moreno,NFO,GKP,38,0.0,0.0,None,,Minutes risk,0,0
401,Bettinelli,MCI,GKP,38,0.0,0.0,None,,Minutes risk,0,0
402,Aït-Nouri,MCI,DEF,38,7.0,103.0,None,,Minutes risk,0,1
403,Gvardiol,MCI,DEF,38,2.0,69.0,None,,Minutes risk,0,1
404,Akanji,MCI,DEF,38,0.0,0.0,None,,Minutes risk,0,0
405,Aké,MCI,DEF,38,8.0,198.0,None,,Minutes risk,0,2
406,Khusanov,MCI,DEF,38,8.0,180.0,None,,Minutes risk,0,2
407,Matheus N.,MCI,DEF,38,8.0,237.0,None,,,0,3
408,Rúben,MCI,DEF,38,1.0,90.0,None,,Minutes risk,0,1
409,Stones,MCI,DEF,38,4.0,85.0,None,,Minutes risk,0,1
410,Lewis,MCI,DEF,38,0.0,90.0,None,,Minutes risk,0,1
411,O'Reilly,MCI,DEF,38,7.0,180.0,None,,Minutes risk,0,2
412,Vitor Reis,MCI,DEF,38,0.0,0.0,None,,Minutes risk,0,0
413,Marmoush,MCI,MID,38,15.0,122.0,None,,Minutes risk,0,1
414,Foden,MCI,MID,38,16.0,235.0,None,,Minutes risk,0,2
415,Savinho,MCI,MID,38,13.0,215.0,None,,Minutes risk,0,2
416,Bernardo,MCI,MID,38,9.0,281.0,"Metronome, Set Piece Specialist",Under-owned,,2,4
417,Cherki,MCI,MID,38,7.0,136.0,None,,Minutes risk,0,1
418,Doku,MCI,MID,38,15.0,209.0,None,,Minutes risk,0,2
419,Grealish,EVE,MID,38,0.0,0.0,None,,Minutes risk,0,0
420,Gündoğan,MCI,MID,38,0.0,0.0,None,,Minutes risk,0,0
421,Rodrigo,MCI,MID,38,7.0,90.0,None,,Minutes risk,0,1
422,Kovačić,MCI,MID,38,3.0,97.0,None,,Minutes risk,0,1
423,N.Gonzalez,MCI,MID,38,4.0,90.0,None,,Minutes risk,0,1
424,Bobb,FUL,MID,38,7.0,203.0,None,,Minutes risk,0,2
425,Echeverri,MCI,MID,38,0.0,0.0,None,,Minutes risk,0,0
426,McAtee,NFO,MID,38,8.0,115.0,None,,Minutes risk,0,1
427,Reijnders,MCI,MID,38,6.0,135.0,None,,Minutes risk,0,2
428,Nypan,MCI,MID,38,0.0,0.0,None,,Minutes risk,0,0
429,Phillips,MCI,MID,38,0.0,0.0,None,,Minutes risk,0,0
430,Haaland,MCI,FWD,38,20.0,180.0,None,,Minutes risk,0,2
431,Bayindir,MUN,GKP,38,0.0,0.0,None,,Minutes risk,0,0
432,Onana,MUN,GKP,38,0.0,0.0,None,,Minutes risk,0,0
433,Harrison,MUN,GKP,38,0.0,0.0,None,,Minutes risk,0,0
434,Heaton,MUN,GKP,38,0.0,0.0,None,,Minutes risk,0,0
435,Mee,MUN,GKP,38,0.0,0.0,None,,Minutes risk,0,0
436,De Ligt,MUN,DEF,38,0.0,0.0,None,,Minutes risk,0,0
437,Martinez,MUN,DEF,38,15.0,270.0,None,Clean sheets earned,,0,3
438,Mazraoui,MUN,DEF,38,17.0,163.0,None,,Minutes risk,0,2
439,D.Leon,MUN,DEF,38,0.0,0.0,None,,Minutes risk,0,0
440,Dalot,MUN,DEF,38,2.0,180.0,None,,Minutes risk,0,2
441,Dorgu,MUN,DEF,38,21.0,111.0,None,,Minutes risk,0,1
442,Maguire,MUN,DEF,38,20.0,360.0,The Enforcer,Clean sheets earned,Ever-present,1,4
443,Shaw,MUN,DEF,38,20.0,351.0,The Supply Line,Clean sheets earned,Ever-present,1,4
444,Yoro,MUN,DEF,38,2.0,17.0,None,,Minutes risk,0,0
445,Amass,MUN,DEF,38,0.0,0.0,None,,Minutes risk,0,0
446,Fredricson,MUN,DEF,38,0.0,0.0,None,,Minutes risk,0,0
447,Heaven,MUN,DEF,38,1.0,90.0,None,,Minutes risk,0,1
448,Malacia,MUN,DEF,38,1.0,8.0,None,,Minutes risk,0,0
449,B.Fernandes,MUN,MID,38,31.0,360.0,"Playmaker, Boom or Bust, Set Piece Specialist",,Ever-present,3,4
450,Cunha,MUN,MID,38,18.0,255.0,"Goal Machine, Playmaker",Beating his xG,,2,3
451,Rashford,MUN,MID,38,0.0,0.0,None,,Minutes risk,0,0
452,Amad,MUN,MID,38,13.0,299.0,"Playmaker, Deep Lying Playmaker",Returns overdue,,2,3
453,Garnacho,CHE,MID,38,1.0,1.0,None,,Minutes risk,0,0
454,Antony,MUN,MID,38,0.0,0.0,None,,Minutes risk,0,0
455,Mount,MUN,MID,38,10.0,172.0,None,,Minutes risk,0,2
456,Sancho,AVL,MID,38,3.0,85.0,None,,Minutes risk,0,1
457,Casemiro,MUN,MID,38,5.0,170.0,None,,Minutes risk,0,2
458,Mainoo,MUN,MID,38,20.0,360.0,"Ball Winner, Deep Lying Playmaker",,Ever-present,2,4
459,Ugarte,MUN,MID,38,0.0,0.0,None,,Minutes risk,0,0
460,Collyer,MUN,MID,38,0.0,0.0,None,,Minutes risk,0,0
461,Fitzgerald,MUN,MID,38,0.0,0.0,None,,Minutes risk,0,0
462,J.Fletcher,MUN,MID,38,0.0,0.0,None,,Minutes risk,0,0
463,Kone,MUN,MID,38,0.0,0.0,None,,Minutes risk,0,0
464,Moorhouse,MUN,MID,38,0.0,0.0,None,,Minutes risk,0,0
465,Højlund,MUN,FWD,38,0.0,0.0,None,,Minutes risk,0,0
466,Zirkzee,MUN,FWD,38,4.0,93.0,None,,Minutes risk,0,1
467,Obi,MUN,FWD,38,0.0,0.0,None,,Minutes risk,0,0
468,Wheatley,MUN,FWD,38,0.0,0.0,None,,Minutes risk,0,0
469,Pope,NEW,GKP,38,12.0,360.0,The Last Line,,Ever-present,1,4
470,Dúbravka,BUR,GKP,38,2.0,90.0,None,,Minutes risk,0,1
471,Gillespie,NEW,GKP,38,0.0,0.0,None,,Minutes risk,0,0
472,Odysseas,NEW,GKP,38,0.0,0.0,None,,Minutes risk,0,0
473,Hall,NEW,DEF,38,5.0,292.0,Set Piece Specialist,One action short,,1,3
474,Schär,NEW,DEF,38,0.0,0.0,None,,Minutes risk,0,0
475,Botman,NEW,DEF,38,15.0,360.0,The Enforcer,,Ever-present,1,4
476,Burn,NEW,DEF,38,11.0,278.0,None,,,0,3
477,Livramento,NEW,DEF,38,0.0,0.0,None,,Minutes risk,0,0
478,Trippier,NEW,DEF,38,3.0,85.0,None,,Minutes risk,0,1
479,Krafth,NEW,DEF,38,0.0,0.0,None,,Minutes risk,0,0
480,Lascelles,NEW,DEF,38,0.0,0.0,None,,Minutes risk,0,0
481,A.Murphy,NEW,DEF,38,1.0,6.0,None,,Minutes risk,0,0
482,Ashby,NEW,DEF,38,0.0,0.0,None,,Minutes risk,0,0
483,Pivas,NEW,DEF,38,0.0,0.0,None,,Minutes risk,0,0
484,Targett,NEW,DEF,38,0.0,0.0,None,,Minutes risk,0,0
485,Gordon,NEW,MID,38,0.0,0.0,None,,Minutes risk,0,0
486,Elanga,NEW,MID,38,2.0,29.0,None,,Minutes risk,0,0
487,Barnes,NEW,MID,38,19.0,170.0,None,,Minutes risk,0,1
488,Bruno G.,NEW,MID,38,17.0,335.0,"Playmaker, Ball Winner, Metronome",Returns overdue,,3,4
489,J.Murphy,NEW,MID,38,13.0,187.0,None,Under-owned,,0,3
490,Joelinton,NEW,MID,38,6.0,180.0,None,,Minutes risk,0,2
491,Tonali,NEW,MID,38,4.0,232.0,"Playmaker, Deep Lying Playmaker",One action short,,2,3
492,Antoñito C.,NEW,MID,38,0.0,0.0,None,,Minutes risk,0,0
493,Longstaff,LEE,MID,38,3.0,49.0,None,,Minutes risk,0,0
494,Willock,NEW,MID,38,8.0,194.0,None,,Minutes risk,0,2
495,Hayden,NEW,MID,38,0.0,0.0,None,,Minutes risk,0,0
496,Kuol,NEW,MID,38,0.0,0.0,None,,Minutes risk,0,0
497,L.Miley,NEW,MID,38,2.0,90.0,None,,Minutes risk,0,1
498,White,NEW,MID,38,0.0,0.0,None,,Minutes risk,0,0
499,Isak,LIV,FWD,38,1.0,23.0,None,,Minutes risk,0,0
500,Osula,NEW,FWD,38,26.0,286.0,"Goal Machine, Boom or Bust",,,2,4
501,Neave,NEW,FWD,38,1.0,13.0,None,,Minutes risk,0,0
502,Sels,NFO,GKP,38,16.0,360.0,The Last Line,Beating his xGC,Ever-present,1,4
503,C.Miguel,NFO,GKP,38,0.0,0.0,None,,Minutes risk,0,0
504,Turner,NFO,GKP,38,0.0,0.0,None,,Minutes risk,0,0
505,Milenković,NFO,DEF,38,8.0,315.0,None,,,0,3
506,Murillo,NFO,DEF,38,0.0,0.0,None,,Minutes risk,0,0
507,Aina,NFO,DEF,38,0.0,0.0,None,,Minutes risk,0,0
508,N.Williams,NFO,DEF,38,6.0,315.0,Set Piece Specialist,One action short,,1,3
509,David Carmo,NFO,DEF,38,0.0,0.0,None,,Minutes risk,0,0
510,Jair Cunha,NFO,DEF,38,6.0,203.0,None,,,0,3
511,Morato,NFO,DEF,38,16.0,360.0,"The Raider, The Enforcer",,Ever-present,2,4
512,O.Richards,NFO,DEF,38,0.0,0.0,None,,Minutes risk,0,0
513,Abbott,NFO,DEF,38,1.0,45.0,None,,Minutes risk,0,1
514,Boly,NFO,DEF,38,0.0,0.0,None,,Minutes risk,0,0
515,Gibbs-White,NFO,MID,38,20.0,200.0,None,,Minutes risk,0,2
516,Hudson-Odoi,NFO,MID,38,0.0,0.0,None,,Minutes risk,0,0
517,Anderson,NFO,MID,38,27.0,289.0,"Playmaker, Ball Winner, Boom or Bust",,,3,3
518,Jota,NFO,MID,38,0.0,0.0,None,,Minutes risk,0,0
519,Dominguez,NFO,MID,38,5.0,184.0,None,One action short,,0,3
520,O'Brien,NFO,MID,38,0.0,0.0,None,,Minutes risk,0,0
521,Sangaré,NFO,MID,38,5.0,84.0,None,,Minutes risk,0,1
522,Yates,NFO,MID,38,5.0,160.0,None,,Minutes risk,0,1
523,Da Silva Moreira,NFO,MID,38,0.0,0.0,None,,Minutes risk,0,0
524,Stamenic,NFO,MID,38,0.0,0.0,None,,Minutes risk,0,0
525,Wood,NFO,FWD,38,6.0,171.0,None,,Minutes risk,0,2
526,Igor Jesus,NFO,FWD,38,10.0,300.0,"Goal Machine, Metronome",,,2,4
527,Awoniyi,NFO,FWD,38,19.0,210.0,None,,Minutes risk,0,2
528,Patterson,SUN,GKP,38,0.0,0.0,None,,Minutes risk,0,0
529,Moore,SUN,GKP,38,0.0,0.0,None,,Minutes risk,0,0
530,Nna Noukeu,SUN,GKP,38,0.0,0.0,None,,Minutes risk,0,0
531,Ballard,SUN,DEF,38,-2.0,23.0,None,,Minutes risk,0,1
532,Hume,SUN,DEF,38,17.0,328.0,Set Piece Specialist,,,1,4
533,Alese,SUN,DEF,38,0.0,0.0,None,,Minutes risk,0,0
534,Anderson,SUN,DEF,38,0.0,0.0,None,,Minutes risk,0,0
535,Cirkin,SUN,DEF,38,0.0,18.0,None,,Minutes risk,0,0
536,Hjelde,SUN,DEF,38,0.0,0.0,None,,Minutes risk,0,0
537,Huggins,SUN,DEF,38,0.0,0.0,None,,Minutes risk,0,0
538,Johnson,SUN,DEF,38,0.0,0.0,None,,Minutes risk,0,0
539,O'Nien,SUN,DEF,38,10.0,157.0,None,,Minutes risk,0,1
540,Pembele,SUN,DEF,38,0.0,0.0,None,,Minutes risk,0,0
541,Reinildo,SUN,DEF,38,14.0,341.0,None,,Ever-present,0,4
542,Seelt,SUN,DEF,38,0.0,0.0,None,,Minutes risk,0,0
543,Adingra,SUN,MID,38,0.0,0.0,None,,Minutes risk,0,0
544,Diarra,SUN,MID,38,5.0,60.0,None,,Minutes risk,0,0
545,Roberts,SUN,MID,38,0.0,0.0,None,,Minutes risk,0,0
546,Aleksić,SUN,MID,38,0.0,0.0,None,,Minutes risk,0,0
547,E.Le Fée,SUN,MID,38,25.0,360.0,"Playmaker, Boom or Bust, Set Piece Specialist",,Ever-present,3,4
548,Mundle,SUN,MID,38,0.0,0.0,None,,Minutes risk,0,0
549,Neil,SUN,MID,38,0.0,0.0,None,,Minutes risk,0,0
550,Poveda,SUN,MID,38,0.0,0.0,None,,Minutes risk,0,0
551,Rigg,SUN,MID,38,5.0,14.0,None,,Minutes risk,0,0
552,Sadiki,SUN,MID,38,10.0,327.0,Metronome,Under-owned,,1,4
553,Talbi,SUN,MID,38,6.0,198.0,None,,Minutes risk,0,2
554,Ba,SUN,MID,38,0.0,0.0,None,,Minutes risk,0,0
555,Browne,SUN,MID,38,0.0,0.0,None,,Minutes risk,0,0
556,Ekwah,SUN,MID,38,0.0,0.0,None,,Minutes risk,0,0
557,H.Jones,SUN,MID,38,0.0,0.0,None,,Minutes risk,0,0
558,Matete,SUN,MID,38,0.0,0.0,None,,Minutes risk,0,0
559,Triantis,SUN,MID,38,0.0,0.0,None,,Minutes risk,0,0
560,Isidor,SUN,FWD,38,7.0,60.0,None,,Minutes risk,0,0
561,Mayenda,SUN,FWD,38,1.0,1.0,None,,Minutes risk,0,0
562,Abdullahi,SUN,FWD,38,0.0,0.0,None,,Minutes risk,0,0
563,Luís Hemir,SUN,FWD,38,0.0,0.0,None,,Minutes risk,0,0
564,Rusyn,SUN,FWD,38,0.0,0.0,None,,Minutes risk,0,0
565,Vicario,TOT,GKP,38,0.0,0.0,None,,Minutes risk,0,0
566,Austin,TOT,GKP,38,0.0,0.0,None,,Minutes risk,0,0
567,Kinsky,TOT,GKP,38,11.0,360.0,The Spectator,Conceding above xGC,Ever-present,1,4
568,Pedro Porro,TOT,DEF,38,15.0,360.0,"The Supply Line, The Enforcer, Set Piece Specialist",,Ever-present,3,4
569,Romero,TOT,DEF,38,0.0,0.0,None,,Minutes risk,0,0
570,Danso,TOT,DEF,38,17.0,360.0,"The Enforcer, Aerial Threat",,Ever-present,2,4
571,Davies,TOT,DEF,38,0.0,0.0,None,,Minutes risk,0,0
572,Dragusin,TOT,DEF,38,1.0,1.0,None,,Minutes risk,0,0
573,Spence,TOT,DEF,38,9.0,139.0,None,,Minutes risk,0,1
574,Udogie,TOT,DEF,38,11.0,331.0,None,,,0,4
575,Van de Ven,TOT,DEF,38,10.0,360.0,None,,Ever-present,0,4
576,Phillips,TOT,DEF,38,0.0,0.0,None,,Minutes risk,0,0
577,Takai,TOT,DEF,38,0.0,0.0,None,,Minutes risk,0,0
578,Vuskovic,TOT,DEF,38,0.0,0.0,None,,Minutes risk,0,0
579,Son,TOT,MID,38,0.0,0.0,None,,Minutes risk,0,0
580,Johnson,CRY,MID,38,5.0,198.0,None,,Minutes risk,0,2
581,Maddison,TOT,MID,38,3.0,34.0,None,,Minutes risk,0,0
582,Kudus,TOT,MID,38,0.0,0.0,None,,Minutes risk,0,0
583,Kulusevski,TOT,MID,38,0.0,0.0,None,,Minutes risk,0,0
584,Tel,TOT,MID,38,19.0,336.0,"Playmaker, Set Piece Specialist",Under-owned,,2,4
585,Bentancur,TOT,MID,38,14.0,317.0,"Ball Winner, Metronome",Under-owned,,2,4
586,Bergvall,TOT,MID,38,2.0,10.0,None,,Minutes risk,0,0
587,Bissouma,TOT,MID,38,1.0,23.0,None,,Minutes risk,0,0
588,Odobert,TOT,MID,38,0.0,0.0,None,,Minutes risk,0,0
589,Solomon,TOT,MID,38,0.0,0.0,None,,Minutes risk,0,0
590,Bryan,TOT,MID,38,0.0,0.0,None,,Minutes risk,0,0
591,Gray,TOT,MID,38,1.0,8.0,None,,Minutes risk,0,0
592,Moore,TOT,MID,38,0.0,0.0,None,,Minutes risk,0,0
593,P.M.Sarr,TOT,MID,38,5.0,39.0,None,,Minutes risk,0,0
594,Min-hyeok,TOT,MID,38,0.0,0.0,None,,Minutes risk,0,0
595,Olusesi,TOT,MID,38,0.0,0.0,None,,Minutes risk,0,0
596,Solanke,TOT,FWD,38,0.0,0.0,None,,Minutes risk,0,0
597,Richarlison,TOT,FWD,38,20.0,342.0,"Goal Machine, Aerial Threat",Returns overdue,Ever-present,2,4
598,Lankshear,TOT,FWD,38,0.0,0.0,None,,Minutes risk,0,0
599,Scarlett,TOT,FWD,38,0.0,0.0,None,,Minutes risk,0,0
600,Areola,WHU,GKP,38,0.0,0.0,None,,Minutes risk,0,0
601,Foderingham,WHU,GKP,38,0.0,0.0,None,,Minutes risk,0,0
602,Hegyi,WHU,GKP,38,0.0,0.0,None,,Minutes risk,0,0
603,Diouf,WHU,DEF,38,9.0,343.0,None,,Ever-present,0,4
604,Emerson,WHU,DEF,38,0.0,0.0,None,,Minutes risk,0,0
605,Kilman,WHU,DEF,38,0.0,0.0,None,,Minutes risk,0,0
606,Mavropanos,WHU,DEF,38,14.0,360.0,The Enforcer,,Ever-present,1,4
607,N.Aguerd,WHU,DEF,38,0.0,0.0,None,,Minutes risk,0,0
608,Scarles,WHU,DEF,38,0.0,2.0,None,,Minutes risk,0,0
609,Todibo,WHU,DEF,38,1.0,115.0,None,,Minutes risk,0,2
610,Wan-Bissaka,WHU,DEF,38,4.0,177.0,None,,Minutes risk,0,2
611,Casey,WHU,DEF,38,0.0,0.0,None,,Minutes risk,0,0
612,L.Paquetá,WHU,MID,38,0.0,0.0,None,,Minutes risk,0,0
613,Souček,WHU,MID,38,8.0,332.0,Goal Machine,,,1,4
614,Ward-Prowse,BUR,MID,38,5.0,94.0,None,,Minutes risk,0,1
615,Summerville,WHU,MID,38,10.0,357.0,"Metronome, Set Piece Specialist",,Ever-present,2,4
616,Álvarez,WHU,MID,38,0.0,0.0,None,,Minutes risk,0,0
617,Cornet,WHU,MID,38,0.0,0.0,None,,Minutes risk,0,0
618,G.Rodriguez,WHU,MID,38,0.0,0.0,None,,Minutes risk,0,0
619,L.Guilherme,WHU,MID,38,0.0,0.0,None,,Minutes risk,0,0
620,Earthy,WHU,MID,38,0.0,0.0,None,,Minutes risk,0,0
621,Irving,WHU,MID,38,0.0,0.0,None,,Minutes risk,0,0
622,Orford,WHU,MID,38,0.0,0.0,None,,Minutes risk,0,0
623,Potts,WHU,MID,38,0.0,0.0,None,,Minutes risk,0,0
624,Bowen,WHU,FWD,38,18.0,357.0,"Boom or Bust, Set Piece Specialist",,Ever-present,2,4
625,Füllkrug,WHU,FWD,38,0.0,0.0,None,,Minutes risk,0,0
626,Marshall,WHU,FWD,38,0.0,0.0,None,,Minutes risk,0,0
627,Johnstone,WOL,GKP,38,0.0,0.0,None,,Minutes risk,0,0
628,José Sá,WOL,GKP,38,9.0,180.0,None,,Minutes risk,0,2
629,Bentley,WOL,GKP,38,4.0,180.0,None,,Minutes risk,0,2
630,King,EVE,GKP,38,0.0,0.0,None,,Minutes risk,0,0
631,Agbadou,WOL,DEF,38,0.0,0.0,None,,Minutes risk,0,0
632,Doherty,WOL,DEF,38,0.0,0.0,None,,Minutes risk,0,0
633,H.Bueno,WOL,DEF,38,7.0,143.0,None,,Minutes risk,0,2
634,Mosquera,WOL,DEF,38,10.0,360.0,"The Raider, The Enforcer, Aerial Threat",,Ever-present,3,4
635,R.Gomes,WOL,DEF,38,6.0,233.0,None,,Minutes risk,0,2
636,S.Bueno,WOL,DEF,38,15.0,360.0,"The Raider, Aerial Threat",One action short,Ever-present,2,4
637,Toti,WOL,DEF,38,8.0,204.0,None,,Minutes risk,0,2
638,Hoever,WOL,DEF,38,0.0,0.0,None,,Minutes risk,0,0
639,Meupiyou,WOL,DEF,38,0.0,0.0,None,,Minutes risk,0,0
640,Pedro Lima,WOL,DEF,38,4.0,124.0,None,,Minutes risk,0,2
641,Pond,WOL,DEF,38,0.0,0.0,None,,Minutes risk,0,0
642,Hee Chan,WOL,MID,38,7.0,256.0,None,One action short,,0,3
643,André,WOL,MID,38,10.0,360.0,"Ball Winner, Metronome",Under-owned,Ever-present,2,4
644,Bellegarde,WOL,MID,38,2.0,34.0,None,,Minutes risk,0,0
645,Fer López,WOL,MID,38,0.0,0.0,None,,Minutes risk,0,0
646,J.Gomes,WOL,MID,38,8.0,268.0,None,,,0,3
647,Guedes,WOL,MID,38,0.0,0.0,None,,Minutes risk,0,0
648,Munetsi,WOL,MID,38,0.0,0.0,None,,Minutes risk,0,0
649,B.Traore,WOL,MID,38,0.0,0.0,None,,Minutes risk,0,0
650,Chirewa,WOL,MID,38,0.0,0.0,None,,Minutes risk,0,0
651,Edozie,WOL,MID,38,1.0,1.0,None,,Minutes risk,0,0
652,Gonzalez,WOL,MID,38,0.0,0.0,None,,Minutes risk,0,0
653,Hodge,WOL,MID,38,0.0,0.0,None,,Minutes risk,0,0
654,Strand Larsen,CRY,FWD,38,7.0,230.0,None,,,0,3
655,Fábio Silva,WOL,FWD,38,0.0,0.0,None,,Minutes risk,0,0
656,Kalajdžić,WOL,FWD,38,0.0,0.0,None,,Minutes risk,0,0
657,Chiwome,WOL,FWD,38,0.0,0.0,None,,Minutes risk,0,0
658,Fraser,WOL,FWD,38,0.0,0.0,None,,Minutes risk,0,0
659,Walker-Peters,WHU,DEF,38,7.0,154.0,None,,Minutes risk,0,2
660,Stach,LEE,MID,38,15.0,234.0,"Shoots On Sight, Set Piece Specialist",,,2,3
661,Ekitiké,LIV,FWD,38,0.0,0.0,None,,Minutes risk,0,0
662,Mosquera,ARS,DEF,38,11.0,232.0,None,,Minutes risk,0,2
663,J.Arias,WOL,MID,38,0.0,0.0,None,,Minutes risk,0,0
664,Lecomte,FUL,GKP,38,0.0,0.0,None,,Minutes risk,0,0
665,Perri,LEE,GKP,38,0.0,0.0,None,,Minutes risk,0,0
666,Gyökeres,ARS,FWD,38,20.0,177.0,None,,Minutes risk,0,2
667,Aznou,EVE,DEF,38,0.0,0.0,None,,Minutes risk,0,0
668,Xhaka,SUN,MID,38,17.0,360.0,"Playmaker, Ball Winner, Set Piece Specialist, Deep Lying Playmaker",,Ever-present,4,4
669,Ndoye,NFO,MID,38,0.0,0.0,None,,Minutes risk,0,0
670,Roefs,SUN,GKP,38,14.0,360.0,The Last Line,Beating his xGC,Ever-present,1,4
671,Wilson,WHU,FWD,38,9.0,165.0,None,,Minutes risk,0,1
672,Hato,CHE,DEF,38,4.0,231.0,None,,,0,3
673,J.Palhinha,TOT,MID,38,21.0,338.0,"Ball Winner, Boom or Bust, Poacher",,,3,4
674,Ramsdale,NEW,GKP,38,0.0,0.0,None,,Minutes risk,0,0
675,Gunn,NFO,GKP,38,0.0,0.0,None,,Minutes risk,0,0
676,Ugochukwu,BUR,MID,38,9.0,222.0,Metronome,Under-owned,,1,3
677,Guessand,CRY,MID,38,2.0,29.0,None,,Minutes risk,0,0
678,Masuaku,SUN,DEF,38,0.0,0.0,None,,Minutes risk,0,0
679,Hermansen,WHU,GKP,38,16.0,360.0,The Last Line,,Ever-present,1,4
680,Broja,BUR,FWD,38,1.0,14.0,None,,Minutes risk,0,0
681,Šeško,MUN,FWD,38,5.0,45.0,None,,Minutes risk,0,1
682,Møller Wolfe,WOL,DEF,38,5.0,202.0,None,,Minutes risk,0,2
